id,host_id,neighbourhood,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
41640679,138781298,3,2,3,2,25,1,1125,1.0,1.0,moderate,3,10.0
41640705,273124804,4,2,3,2,15,1,1125,5.0,5.0,moderate,1,2.0
41640830,273124804,4,2,3,2,15,1,1125,5.0,5.0,moderate,0,
41640837,129164779,3,29,1,3,26,4,180,1.0,1.0,flexible,3,10.0
41640968,138781298,3,2,3,2,27,1,1125,1.0,1.0,moderate,7,10.0
41641162,324029425,4,26,3,2,48,3,90,1.0,1.0,moderate,0,
41641319,138781298,3,15,3,2,25,1,1125,1.0,1.0,moderate,7,10.0
41641689,138781298,3,15,3,2,27,1,1125,1.0,1.0,moderate,12,10.0
41641787,34037742,5,2,1,2,75,1,180,1.0,1.0,flexible,4,10.0
41641899,138781298,3,2,3,2,27,1,1125,1.0,1.0,moderate,3,10.0
41642243,53091262,11,2,1,4,95,3,360,2.0,2.0,strict_14_with_grace_period,1,10.0
41642411,34037742,5,2,1,4,75,1,90,1.0,2.0,flexible,6,10.0
41642951,160469905,3,2,1,4,2,3,1125,2.0,2.0,flexible,1,10.0
41643819,266401102,9,2,3,3,12,2,3,1.0,,moderate,0,
41644440,328546046,3,2,3,1,35,1,1125,1.0,1.0,flexible,1,
41645089,263008037,15,2,1,4,14,1,1125,2.0,2.0,moderate,4,10.0
41645975,212104868,16,2,1,4,145,1,1125,1.0,2.0,moderate,0,
41646316,14132793,1,15,1,3,43,5,365,2.0,2.0,moderate,1,10.0
41646447,4649609,6,2,1,4,226,1,1125,2.0,2.0,moderate,1,10.0
41647604,320391324,14,26,3,1,9,2,1125,1.0,1.0,moderate,0,
41649164,64202481,6,2,3,1,19,1,1125,1.0,1.0,moderate,0,
41650718,319741942,6,25,3,2,23,1,30,1.0,1.0,flexible,2,10.0
41651325,285353346,11,2,1,6,60,1,365,2.0,3.0,strict_14_with_grace_period,14,10.0
41657161,187708296,4,2,1,6,44,1,1125,3.0,4.0,moderate,2,10.0
41657661,285113187,3,2,3,1,10,1,1125,1.0,1.0,flexible,0,
41657840,55904442,3,29,3,2,40,2,1125,1.0,1.0,flexible,0,
41661832,256845820,2,4,3,2,15,1,1125,1.0,1.0,flexible,7,10.0
41662448,328741955,14,2,1,2,30,300,1095,2.0,2.0,moderate,0,
41662819,328753344,3,2,3,2,15,1,1125,1.0,,moderate,5,8.0
41663234,328753628,8,33,3,2,14,3,1125,1.0,1.0,flexible,2,10.0
41663499,113471366,11,2,1,4,15,2,180,2.0,3.0,moderate,0,
41664608,102084443,10,26,3,2,28,1,30,1.0,1.0,strict_14_with_grace_period,0,
41666476,11519254,6,2,3,2,29,1,1125,1.0,1.0,moderate,5,10.0
41666675,81839675,6,2,3,1,11,1,168,1.0,1.0,flexible,0,
41666836,144350947,9,15,3,3,9,1,30,1.0,1.0,flexible,1,8.0
41669375,60665629,14,26,4,3,50,1,60,1.0,1.0,moderate,1,10.0
41681261,187971036,3,2,1,6,43,3,1125,2.0,4.0,flexible,15,10.0
41682263,136792631,6,2,1,4,51,1,7,0.0,2.0,flexible,1,10.0
41682358,323401359,9,26,3,2,12,1,29,1.0,1.0,moderate,2,10.0
41683540,211558367,6,15,3,1,45,1,1125,0.0,1.0,flexible,0,
41685810,253736788,14,2,3,1,24,1,1125,1.0,1.0,flexible,0,
41687801,179068302,11,2,3,2,40,1,1125,1.0,1.0,flexible,2,10.0
41688131,179068302,3,2,3,1,30,1,1125,1.0,1.0,moderate,6,10.0
41688162,137377215,3,2,3,2,17,1,1125,1.0,2.0,strict_14_with_grace_period,5,10.0
41689180,329109265,3,2,1,4,60,1,1125,2.0,3.0,flexible,3,10.0
41689681,255500675,6,2,1,4,37,2,30,2.0,2.0,moderate,4,10.0
41689932,118923607,3,2,3,6,15,2,10,1.0,5.0,flexible,4,9.0
41690340,175868469,14,23,1,2,15,1,1125,1.0,1.0,flexible,4,10.0
41690798,117685232,6,2,1,4,113,2,1125,2.0,4.0,flexible,0,
41691182,11519254,6,2,3,4,25,1,1125,1.0,2.0,moderate,4,10.0
41691459,11519254,6,2,3,4,25,1,1125,1.0,2.0,moderate,4,9.0
41691495,261857354,6,2,1,2,91,1,1125,1.0,1.0,strict_14_with_grace_period,2,10.0
41691606,237429994,6,2,1,2,34,1,1125,1.0,1.0,flexible,4,10.0
41691898,60354877,3,2,3,1,56,1,1125,1.0,1.0,flexible,0,
41692309,299271894,3,2,3,1,16,1,1125,1.0,1.0,flexible,6,10.0
41692374,26869771,6,2,1,4,52,2,1000,2.0,3.0,moderate,4,10.0
41692498,319676514,7,2,1,3,12,1,1125,1.0,1.0,flexible,20,10.0
41693062,321356544,6,2,3,2,57,1,1125,1.0,1.0,flexible,0,
41693064,27911763,3,2,3,2,23,1,1125,1.0,0.0,moderate,0,
41693621,53858666,6,2,1,2,34,1,1125,1.0,1.0,strict_14_with_grace_period,5,9.0
41695597,285709351,6,26,1,8,192,2,1125,4.0,4.0,moderate,1,10.0
41697534,49901970,3,2,3,1,30,2,30,1.0,1.0,flexible,5,10.0
41698320,274368987,1,2,1,2,60,1,1125,1.0,1.0,moderate,1,8.0
41709526,102751914,4,2,3,2,15,7,1125,1.0,,flexible,0,
41709848,150573902,6,2,3,1,23,2,28,1.0,1.0,flexible,0,
41710778,329323655,7,2,3,2,10,1,150,1.0,,moderate,0,
